SYMBOL,SERIES,Adjusted 52_Week_High,52_Week_High_Date,Adjusted 52_Week_Low,52_Week_Low_DT
HAL,EQ,1423,14-Aug-20,658,04-Nov-20
HAPPSTMNDS,EQ,1580,16-Jul-21,307,27-Oct-20
HARRMALAYA,EQ,249.75,28-Jul-21,84.15,24-Sep-20
HATHWAY,EQ,41.7,07-Aug-20,20.55,22-Apr-21
HATSUN,EQ,1035,13-Jul-21,533.68,05-Aug-20
HAVELLS,EQ,1246.9,04-Aug-21,593.2,05-Aug-20
HAVISHA,BE,2.7,08-Jul-21,0.55,09-Dec-20
HBANKETF,EQ,384.2,28-Jun-21,200.1,28-Sep-20
HBLPOWER,EQ,58,23-Jul-21,14.6,06-Aug-20
HBSL,EQ,32.85,19-Jul-21,4.95,04-Sep-20
HCC,EQ,16.2,06-Jul-21,4.6,16-Oct-20
HCG,EQ,262.9,02-Aug-21,106.95,31-Aug-20
HCL-INSYS,EQ,21.75,23-Jun-21,7.05,25-Sep-20
HCLTECH,EQ,1073,05-Aug-21,677.05,12-Aug-20
HDFC,EQ,2896,16-Feb-21,1623,24-Sep-20
HDFCAMC,EQ,3358.9,15-Jan-21,2070.05,25-Sep-20
HDFCBANK,EQ,1641,16-Feb-21,1020,05-Aug-20
HDFCLIFE,EQ,746,10-Mar-21,555.95,30-Sep-20
HDFCMFGETF,EQ,50.59,07-Aug-20,36.6,22-Mar-21
HDFCNIFETF,EQ,190.01,11-Feb-21,113.51,24-Sep-20
HDFCSENETF,EQ,674,17-Feb-21,357.7,25-Sep-20
HDIL,BZ,8.7,15-Dec-20,3.2,05-Aug-20
HEG,EQ,2580,09-Apr-21,659,02-Nov-20
HEIDELBERG,EQ,284.95,31-May-21,174.2,24-Sep-20
HEMIPROP,EQ,201.8,15-Feb-21,54.4,05-Nov-20
HERANBA,EQ,945,05-Mar-21,602.1,06-Apr-21
HERCULES,EQ,179.55,19-Jul-21,79.15,05-Aug-20
HERITGFOOD,EQ,541,28-Jul-21,259,11-Nov-20
