SYMBOL,SERIES,Adjusted 52_Week_High,52_Week_High_Date,Adjusted 52_Week_Low,52_Week_Low_DT
PRICOLLTD,EQ,106.7,13-Jul-21,33.35,19-Aug-20
PRIMESECU,EQ,115.85,04-Aug-21,38.5,27-Jan-21
PRINCEPIPE,EQ,794.4,24-May-21,114.9,05-Aug-20
PRIVISCL,EQ,1955,03-Aug-21,500.65,21-Aug-20
PROINDIA,BE,15.5,05-Aug-21,1.4,20-May-21
PROZONINTU,EQ,56.35,14-Jun-21,14.15,08-Apr-21
PRSMJOHNSN,EQ,149.45,29-Jul-21,45.5,06-Aug-20
PSB,EQ,23.75,19-Feb-21,10.3,16-Oct-20
PSPPROJECT,EQ,531.3,05-Feb-21,378.05,18-Nov-20
PSUBNKBEES,EQ,29.83,14-Jul-21,13.56,25-Sep-20
PTC,EQ,110.8,15-Jun-21,44.65,27-Oct-20
PTL,EQ,58,19-Jul-21,35.55,19-Apr-21
PUNJABCHEM,EQ,1490,22-Jul-21,425.1,06-Aug-20
PUNJLLOYD,BZ,2.8,11-Jan-21,1.2,09-Apr-21
PURVA,EQ,120.4,02-Aug-21,40.35,25-Sep-20
PVP,EQ,7.05,05-Aug-21,4.55,29-Jul-21
PVR,EQ,1591.9,21-Jan-21,988.35,19-Apr-21
QGOLDHALF,EQ,2499,07-Aug-20,1836.4,03-May-21
QNIFTY,EQ,1697,05-Aug-21,1120,24-Sep-20
QUESS,EQ,926,03-Aug-21,348.05,05-Aug-20
QUICKHEAL,EQ,318.9,03-Aug-21,112.4,05-Aug-20
RADAAN,BE,1.8,24-Jun-21,0.7,25-Mar-21
RADICO,EQ,917.9,30-Jul-21,375.5,11-Aug-20
RADIOCITY,EQ,29.6,15-Jun-21,15.45,06-Aug-20
RAILTEL,EQ,189.7,03-Mar-21,101,26-Feb-21
RAIN,EQ,272.75,02-Aug-21,93.1,05-Aug-20
RAJESHEXPO,EQ,638,15-Jun-21,441,02-Nov-20
RAJMET,BE,178,29-Jul-21,37.25,16-Feb-21
RAJRATAN,BE,2758.6,04-Aug-21,243.95,05-Aug-20
RAJRAYON,BZ,0.6,17-Jun-21,0.05,08-Oct-20
RAJSREESUG,EQ,38.2,06-Jul-21,11.25,19-Oct-20
RAJTV,BE,66.7,01-Jul-21,29.65,15-Apr-21
RALLIS,EQ,362.6,18-Jun-21,232.35,03-Nov-20
RAMANEWS,EQ,27.7,02-Aug-21,12.15,10-Nov-20
RAMASTEEL,BE,219.1,05-Aug-21,28,05-Aug-20
RAMCOCEM,EQ,1132.7,27-Jul-21,664.05,09-Sep-20
RAMCOIND,EQ,366.65,26-Jul-21,166.6,31-Aug-20
RAMCOSYS,EQ,785,11-Jan-21,134,05-Aug-20
RAMKY,BE,210.45,06-Jul-21,27.4,04-Nov-20
RANASUG,BE,38.3,14-Jul-21,5.4,03-Nov-20
RANEENGINE,EQ,386.4,13-Jul-21,178.25,06-Aug-20
RANEHOLDIN,EQ,782.75,26-Jul-21,391.05,03-Nov-20
RATNAMANI,EQ,2248.35,02-Aug-21,1088,17-Aug-20
RAYMOND,EQ,473.9,20-Jul-21,251.55,07-Aug-20
RBL,EQ,1209,14-Jul-21,521.05,24-Sep-20
RBLBANK,EQ,274.3,08-Jan-21,156.1,24-Sep-20
RCF,EQ,100.15,02-Mar-21,41.65,24-Sep-20
RCOM,EQ,5.05,24-Jun-21,1.35,22-Oct-20
RECLTD,EQ,167.8,09-Jun-21,91.8,13-Oct-20
REDINGTON,EQ,358,13-Jul-21,86.75,07-Aug-20
REFEX,EQ,169,29-Jun-21,42.5,07-Sep-20
RELAXO,EQ,1242.9,24-Jun-21,610,22-Sep-20
RELCAPITAL,EQ,30.65,24-Jun-21,7.1,16-Oct-20
RELIANCE,EQ,2369.35,16-Sep-20,1830,29-Jan-21
RELIGARE,EQ,175.8,02-Aug-21,33.55,17-Aug-20
RELINFRA,BE,108.65,21-Jun-21,19.2,12-Nov-20
REMSONSIND,BE,314.7,06-Jul-21,66.2,12-Aug-20
RENUKA,BE,47.75,06-Jul-21,8.6,25-Sep-20
REPCOHOME,EQ,430,14-Jun-21,130.6,17-Aug-20
REPL,EQ,280,16-Jun-21,97.05,15-Dec-20
REPRO,EQ,456.8,16-Sep-20,326.15,19-Apr-21
RESPONIND,EQ,202,12-Mar-21,91,22-Sep-20
REVATHI,EQ,841.95,16-Jun-21,382.25,06-Aug-20
RGL,EQ,699,02-Aug-21,217,03-Nov-20
RHFL,BE,6.65,25-Jun-21,1.4,13-Oct-20
RHIM,EQ,392.5,04-Aug-21,168.6,05-Aug-20
RICOAUTO,EQ,62.4,30-Jul-21,27,05-Aug-20
RIIL,EQ,866,23-Jun-21,347,22-Apr-21
RITES,EQ,303,14-Jul-21,232.2,19-Apr-21
RKDL,BE,19.7,26-Jul-21,5.7,10-Nov-20
RKEC,EQ,117,12-Jul-21,36.55,18-Dec-20
RKFORGE,EQ,952,04-Aug-21,172.05,05-Aug-20
RMCL,BZ,4.4,20-Aug-20,1.9,22-Apr-21
RML,EQ,494.65,05-Mar-21,192.1,12-Oct-20
RNAVAL,BZ,6.95,24-Jun-21,1.8,22-Oct-20
ROHLTD,EQ,93.2,11-Jun-21,52.75,05-Apr-21
ROLLT,EQ,5,11-Jan-21,1.95,13-Nov-20
ROLTA,BE,10.05,06-Jul-21,3.15,01-Apr-21
ROML,EQ,170.35,08-Feb-21,3.45,07-Oct-20
ROSSARI,EQ,1450,05-Aug-21,675.15,14-Aug-20
ROSSELLIND,EQ,212,03-Aug-21,82,06-Aug-20
ROUTE,EQ,2307,05-Jul-21,625,21-Sep-20
RPGLIFE,EQ,539,29-Jul-21,326,31-Aug-20
RPOWER,BE,18.25,23-Jun-21,2.4,22-Oct-20
RPPINFRA,EQ,103.5,20-Jul-21,39.95,12-Nov-20
RPSGVENT,EQ,808.95,20-Jul-21,180.05,05-Aug-20
RSSOFTWARE,EQ,46,14-Jun-21,16.1,05-Aug-20
RSWM,EQ,439.25,04-Aug-21,69,12-Aug-20
RSYSTEMS,EQ,211.95,30-Jul-21,92.2,05-Aug-20
RTNINDIA,BE,71,28-Jul-21,4.55,06-Apr-21
RTNPOWER,BE,9.7,06-Jul-21,1.85,21-Oct-20
RUBYMILLS,EQ,349.3,03-Aug-21,134.4,12-Nov-20
RUCHI,EQ,1376.7,09-Jun-21,403.75,25-Sep-20
RUCHINFRA,BE,15.3,10-Aug-20,5.5,23-Apr-21
RUCHIRA,EQ,105.75,14-Jul-21,44.45,05-Aug-20
RUPA,EQ,550,03-Aug-21,153.25,05-Aug-20
RUSHIL,EQ,328.3,04-Aug-21,67.45,24-Sep-20
RVHL,EQ,35.95,08-Jan-21,15.05,01-Apr-21
RVNL,EQ,35.55,11-Jan-21,18.05,04-Nov-20
S&SPOWER,EQ,27.95,11-Jun-21,8.1,19-Nov-20
SABEVENTS,BE,3.8,03-Aug-21,0.85,07-Aug-20
SADBHAV,EQ,96.5,30-Jun-21,40.3,19-Oct-20
SADBHIN,EQ,41.6,05-Jul-21,14.8,13-Nov-20
SAFARI,EQ,842.45,13-Jul-21,343.95,17-Aug-20
SAGARDEEP,BE,98.6,26-Aug-20,29.3,30-Mar-21
SAGCEM,EQ,1550,05-Aug-21,444,09-Sep-20
SAIL,EQ,151.3,10-May-21,32.65,15-Oct-20
SAKAR,EQ,212,03-Aug-21,54.65,07-Aug-20
SAKHTISUG,BE,22.95,13-Jul-21,6.95,03-Nov-20
SAKSOFT,EQ,734.45,15-Jul-21,238.1,05-Aug-20
SAKUMA,BE,14.7,16-Jul-21,4.05,31-Mar-21
SALASAR,EQ,372,13-Jul-21,75.78,02-Sep-20
SALONA,EQ,250,04-Aug-21,48,12-Oct-20
SALSTEEL,BE,17.6,05-Aug-21,2.3,14-Oct-20
SALZERELEC,EQ,189.5,02-Aug-21,82.5,05-Aug-20
SAMBHAAV,BE,4.65,23-Jun-21,1.45,14-Oct-20
SANCO,EQ,21.5,09-Feb-21,6.9,31-Mar-21
SANDESH,EQ,1084.7,14-Jul-21,460.15,10-Aug-20
SANDHAR,EQ,317.05,19-Jul-21,174.5,23-Apr-21
SANGAMIND,EQ,156.95,05-Aug-21,44.65,25-Sep-20
SANGHIIND,EQ,79.85,04-Aug-21,22.95,21-Oct-20
SANGHVIMOV,EQ,230,02-Jul-21,64.85,05-Aug-20
SANGINITA,EQ,90.65,15-Sep-20,18,01-Apr-21
SANOFI,EQ,8989,24-Aug-20,7424,27-Apr-21
SANWARIA,BZ,2.65,05-Aug-20,0.55,10-May-21
SARDAEN,BE,863,03-Aug-21,191,05-Aug-20
SAREGAMA,BE,3629,09-Jul-21,452.05,10-Aug-20
SARLAPOLY,EQ,51,04-Aug-21,15.6,12-Aug-20
SASKEN,EQ,1429,20-Jul-21,538.55,09-Sep-20
SASTASUNDR,BE,370,12-Jul-21,76.55,24-Sep-20
SATIA,EQ,143,09-Sep-20,73,26-Mar-21
SATIN,EQ,112.9,10-Mar-21,51.25,13-Oct-20
SBCL,EQ,193.5,05-Aug-21,115.1,02-Jul-21
SBICARD,EQ,1139.5,10-Jun-21,751,05-Aug-20
SBIETFCON,EQ,66.5,04-Aug-21,62,29-Jul-21
SBIETFIT,EQ,323.2,15-Jul-21,201.2,22-Oct-20
SBIETFPB,EQ,202.95,16-Feb-21,130.6,30-Oct-20
SBIETFQLTY,EQ,149.78,04-Aug-21,90.5,14-Aug-20
SBILIFE,EQ,1175.7,05-Aug-21,755.25,29-Oct-20
SBIN,EQ,467.45,04-Aug-21,175.5,24-Sep-20
SCAPDVR,EQ,2.95,08-Jul-21,0.85,06-Aug-20
SCHAEFFLER,EQ,7166,30-Jul-21,3443.3,19-Oct-20
SCHAND,EQ,148,03-Aug-21,56.3,05-Aug-20
SCHNEIDER,EQ,147.15,29-Jul-21,67.6,04-Nov-20
SCI,EQ,134.65,04-Mar-21,49.8,04-Nov-20
SDBL,EQ,59.6,26-Jul-21,22.45,06-Aug-20
SEAMECLTD,EQ,697,03-Aug-21,342.9,18-May-21
SECURKLOUD,EQ,122.85,01-Feb-21,25.25,07-Sep-20
SELAN,EQ,179.7,24-Jun-21,99,04-Nov-20
SEPOWER,EQ,10.35,23-Jul-21,1.95,15-Oct-20
SEQUENT,EQ,336.5,29-Jun-21,118.95,19-Aug-20
SESHAPAPER,EQ,228.8,15-Jul-21,125.35,02-Nov-20
SETCO,EQ,25.2,06-Jul-21,8.5,05-Aug-20
SETF10GILT,EQ,241.7,07-Dec-20,181.02,21-Oct-20
SETFGOLD,EQ,5135.75,10-Aug-20,3935,31-Mar-21
SETFNIF50,EQ,178,15-Feb-21,112,05-Aug-20
SETFNIFBK,EQ,386.8,26-Feb-21,204,24-Sep-20
SETFNN50,EQ,454.8,22-Jun-21,250.8,30-Sep-20
SETUINFRA,BE,2,08-Jul-21,0.6,20-Nov-20
SEYAIND,EQ,85,22-Jul-21,47.5,19-Apr-21
SFL,EQ,2498.1,14-Jul-21,1222.15,22-Oct-20
SGIL,EQ,200,28-Jul-21,150.55,28-Jul-21
SGL,EQ,16.3,02-Jul-21,6.05,05-Nov-20
SHAKTIPUMP,EQ,910,08-Jun-21,168,13-Aug-20
SHALBY,EQ,211.45,06-Jul-21,71.8,05-Aug-20
SHALPAINTS,EQ,126,31-May-21,57.15,05-Aug-20
SHANKARA,EQ,683.65,02-Aug-21,279.65,12-Nov-20
SHANTIGEAR,EQ,211.35,04-Aug-21,86,12-Aug-20
SHARDACROP,EQ,387,11-Jun-21,230.9,22-Dec-20
SHARDAMOTR,BE,755,02-Jul-21,143.46,05-Aug-20
SHAREINDIA,EQ,575.25,27-Jul-21,92.2,26-Oct-20
SHARIABEES,EQ,483.8,22-Jul-21,271.33,04-Sep-20
SHEMAROO,EQ,180.95,27-May-21,51.4,12-Nov-20
SHIL,BE,399.4,19-Jul-21,69.35,10-Aug-20
SHILPAMED,EQ,695,11-Aug-20,311.6,19-Mar-21
SHIVAMAUTO,EQ,28.85,26-May-21,13.4,05-Aug-20
SHIVAMILLS,EQ,114.3,30-Jul-21,19.95,18-Aug-20
SHIVATEX,EQ,275,29-Jul-21,75.15,02-Nov-20
SHK,EQ,189.8,05-Jul-21,73,05-Aug-20
SHOPERSTOP,EQ,290.6,29-Jul-21,146.24,06-Aug-20
SHRADHA,EQ,76.75,21-Dec-20,35.5,22-Apr-21
SHREDIGCEM,EQ,97.8,29-Jul-21,42.75,09-Sep-20
SHREECEM,EQ,32048,08-Apr-21,18183.55,24-Sep-20
SHREEPUSHK,EQ,208.95,26-May-21,95.2,09-Nov-20
SHREERAMA,EQ,18.7,28-May-21,4.85,05-Aug-20
SHRENIK,EQ,10.45,09-Oct-20,1.55,19-Apr-21
SHREYANIND,EQ,152,28-Jul-21,68.2,10-Nov-20
SHREYAS,EQ,240,27-Jul-21,45.75,19-Oct-20
SHRIPISTON,BE,1113.75,30-Jul-21,495,05-Oct-20
SHRIRAMCIT,EQ,1962.9,24-May-21,655.15,05-Aug-20
SHRIRAMEPC,EQ,7,17-May-21,3.3,05-Aug-20
SHYAMCENT,EQ,20.35,23-Jul-21,3,10-Aug-20
SHYAMMETL,EQ,461.15,20-Jul-21,361.1,30-Jun-21
SICAL,EQ,21.85,15-Dec-20,8.6,26-Mar-21
SIEMENS,EQ,2178,04-Jun-21,1120.8,10-Aug-20
SIGIND,EQ,64.35,27-Jul-21,17,22-Sep-20
SIL,BE,21.45,16-Mar-21,7.85,27-Nov-20
SILGO,EQ,66.7,25-Mar-21,36.5,05-Aug-21
SILINV,BE,355.3,19-Jul-21,132,13-Nov-20
SILLYMONKS,EQ,34.85,05-Aug-20,18,31-Mar-21
SIMBHALS,BE,44.45,14-Jul-21,5.5,19-Nov-20
SIMPLEXINF,EQ,56.5,30-Jun-21,27.05,22-Sep-20
SINTERCOM,EQ,104.8,02-Aug-21,61.2,04-May-21
SINTEX,EQ,5.65,11-Jun-21,1.6,11-Aug-20
SIRCA,EQ,384,28-May-21,215.5,06-Aug-20
SIS,EQ,534.8,27-Jul-21,341,09-Sep-20
SITINET,EQ,2,28-Aug-20,0.4,10-Nov-20
SIYSIL,EQ,456,03-Aug-21,125.5,30-Sep-20
SJVN,EQ,30.8,08-Jun-21,20.65,14-Oct-20
SKFINDIA,EQ,3024,27-Jul-21,1426.55,07-Aug-20
SKIL,EQ,5.6,18-Jun-21,2.05,18-Nov-20
SKIPPER,EQ,98.35,22-Jul-21,36.3,07-Aug-20
SKMEGGPROD,EQ,99.5,23-Jun-21,34,05-Aug-20
SMARTLINK,EQ,134.55,16-Jul-21,63.6,11-Aug-20
SMCGLOBAL,EQ,109,01-Mar-21,65.8,28-May-21
SMLISUZU,EQ,696.85,13-Jul-21,365,02-Nov-20
SMSLIFE,EQ,885.65,22-Jun-21,408.35,14-Aug-20
SMSPHARMA,EQ,198.8,05-Aug-21,79,09-Sep-20
SNOWMAN,EQ,71.25,30-Dec-20,28.95,06-Aug-20
SOBHA,EQ,688.35,16-Jul-21,200.25,16-Oct-20
SOLARA,EQ,1859.95,19-May-21,851.7,05-Aug-20
SOLARINDS,EQ,1798.5,04-Aug-21,940,05-Aug-20
SOMANYCERA,BE,745,04-Aug-21,128,06-Aug-20
SOMATEX,EQ,10.25,12-Mar-21,2.5,02-Dec-20
SOMICONVEY,EQ,65.5,12-Jul-21,15.6,11-Aug-20
SONACOMS,EQ,456.9,20-Jul-21,295,24-Jun-21
SONATSOFTW,EQ,884.4,05-Aug-21,268.25,05-Aug-20
SORILINFRA,EQ,227.75,24-Feb-21,48,06-Aug-20
SOTL,EQ,1750,03-Aug-21,638.95,05-Aug-20
SOUTHBANK,EQ,13.95,22-Jun-21,6.25,19-Oct-20
SOUTHWEST,EQ,91.5,05-Aug-21,20.25,06-Aug-20
SPAL,EQ,361.8,03-Aug-21,69,06-Aug-20
SPANDANA,EQ,830,14-Jan-21,479.8,19-Apr-21
SPARC,EQ,294.45,05-Aug-21,141,31-Mar-21
SPECIALITY,EQ,79.75,27-Jul-21,29.55,05-Aug-20
SPENCERS,EQ,113.7,30-Jul-21,65.7,19-Apr-21
SPENTEX,BZ,1.85,05-Aug-21,0.5,24-Nov-20
SPIC,EQ,68.45,16-Jul-21,16.8,22-Sep-20
SPICEJET,EQ,108,11-Dec-20,45.55,06-Aug-20
SPLIL,EQ,65,05-Aug-21,25.3,25-Sep-20
SPMLINFRA,EQ,17.55,13-Jan-21,7.3,17-Nov-20
SPTL,EQ,7.3,23-Jun-21,1.8,09-Oct-20
SREEL,EQ,238,11-Jun-21,124.65,23-Sep-20
SREINFRA,BE,18.35,23-Jun-21,5,31-Mar-21
SRF,EQ,9134.95,04-Aug-21,3790.85,06-Aug-20
SRHHYPOLTD,EQ,368,30-Jun-21,155.5,01-Sep-20
SRIPIPES,EQ,248.5,04-Aug-21,109.3,06-Oct-20
SRPL,BE,45.25,02-Feb-21,25.75,30-Mar-21
SRTRANSFIN,EQ,1534.95,15-Feb-21,555.55,24-Sep-20
SSWL,EQ,1728.9,04-Aug-21,412.85,05-Aug-20
STAR,EQ,999,08-Jan-21,463,05-Aug-20
STARCEMENT,EQ,119.25,22-Jul-21,75.35,21-Dec-20
STARPAPER,EQ,181.7,07-Jul-21,80.8,05-Nov-20
STCINDIA,EQ,138.8,08-Jun-21,48.1,06-Aug-20
STEELCITY,EQ,98.7,20-Jul-21,26.05,10-Aug-20
STEELXIND,EQ,82.4,05-Aug-21,28.25,05-Aug-20
STEL,EQ,121.5,28-Jun-21,45.25,16-Oct-20
STERTOOLS,EQ,254.05,02-Aug-21,159.95,22-Sep-20
STLTECH,EQ,318,03-Aug-21,118.35,06-Aug-20
STOVEKRAFT,EQ,850,03-Aug-21,406.1,19-Mar-21
STYLAMIND,EQ,1419.9,05-Aug-21,1216,02-Aug-21
SUBCAPCITY,BE,44.95,09-Sep-20,14.1,07-Aug-20
SUBEXLTD,EQ,74.4,08-Jul-21,15.35,13-Nov-20
SUBROS,EQ,364.9,04-Aug-21,180,05-Aug-20
SUDARSCHEM,EQ,794,02-Jul-21,407.1,17-Aug-20
SUMEETINDS,BE,12.8,19-Jul-21,1.6,10-Aug-20
SUMICHEM,EQ,459.9,05-Aug-21,258,09-Sep-20
SUMIT,BE,22,20-Jul-21,7.45,02-Dec-20
SUMMITSEC,EQ,861.9,03-Aug-21,357.05,05-Aug-20
SUNCLAYLTD,EQ,4250,16-Jul-21,1540,06-Aug-20
SUNDARAM,BE,2.7,24-Jun-21,1.05,14-Oct-20
SUNDARMFIN,EQ,2868,04-Mar-21,1270.05,24-Sep-20
SUNDARMHLD,EQ,94,03-Aug-21,41.79,17-Aug-20
SUNDRMBRAK,EQ,481.4,30-Jul-21,208.9,05-Nov-20
SUNDRMFAST,EQ,867.7,09-Jun-21,391.5,24-Sep-20
SUNFLAG,EQ,96.65,29-Jul-21,39.1,22-Sep-20
SUNPHARMA,EQ,804.35,03-Aug-21,452.25,29-Oct-20
SUNTECK,EQ,414.95,03-Aug-21,190.25,05-Aug-20
SUNTV,EQ,586.55,02-Aug-21,388.3,05-Aug-20
SUPERHOUSE,EQ,182,23-Jun-21,78,24-Sep-20
SUPERSPIN,BE,14.45,26-Jul-21,3.2,16-Oct-20
SUPPETRO,BE,815,26-May-21,178.1,05-Aug-20
SUPRAJIT,EQ,358,29-Jul-21,154,05-Aug-20
SUPREMEENG,EQ,42.9,04-Jun-21,20.9,06-May-21
SUPREMEIND,EQ,2339.95,19-May-21,1191.3,17-Aug-20
SURANASOL,EQ,15.25,23-Jul-21,6.25,05-Aug-20
SURANAT&P,EQ,8.3,07-Jul-21,3.35,14-Aug-20
SURYALAXMI,BE,76.2,22-Jul-21,15.5,16-Oct-20
SURYAROSNI,EQ,610.25,04-Aug-21,123.6,05-Aug-20
SURYODAY,EQ,296.35,26-Mar-21,189,05-Aug-21
SUTLEJTEX,EQ,81.2,19-Jul-21,17.95,05-Aug-20
SUULD,EQ,736.85,06-Jul-21,62.25,19-Oct-20
SUVEN,EQ,116,23-Apr-21,39.5,05-Aug-20
SUVENPHAR,EQ,574.5,03-Aug-21,291.6,30-Oct-20
SUVIDHAA,EQ,115.5,31-Mar-21,19.75,19-May-21
SUZLON,EQ,9.45,06-Jul-21,2.7,16-Oct-20
SVPGLOB,EQ,121,04-Aug-21,101.2,15-Jul-21
SWANENERGY,EQ,175.85,29-Jul-21,108,21-Sep-20
SWARAJENG,EQ,2000,28-Jun-21,1268,11-Feb-21
SWELECTES,EQ,279.35,15-Jul-21,97.65,13-Aug-20
SWSOLAR,EQ,343.8,09-Apr-21,183.5,24-Feb-21
SYMPHONY,EQ,1528.8,03-Mar-21,820,02-Dec-20
SYNGENE,EQ,700,16-Jul-21,443,09-Sep-20
TAINWALCHM,BE,125.25,26-Jul-21,42.7,05-Oct-20
TAJGVK,EQ,158.3,27-Aug-20,102,20-Apr-21
TAKE,EQ,74.6,09-Jun-21,39.55,20-Nov-20
TALBROAUTO,EQ,357.5,03-Aug-21,99,05-Aug-20
TANLA,BE,1030,03-Mar-21,129.8,05-Aug-20
TANTIACONS,BZ,10.5,20-May-21,1.05,23-Nov-20
TARAPUR,EQ,6.8,31-May-21,2.75,01-Mar-21
TARC,BE,50.7,15-Jul-21,19.05,28-Dec-20
TARMAT,EQ,98.2,22-Jul-21,32.55,06-Aug-20
TASTYBITE,EQ,21487,08-Jul-21,9801,24-Sep-20
TATACHEM,EQ,833.95,08-Apr-21,273.45,22-Sep-20
TATACOFFEE,EQ,246.7,28-Jul-21,96.05,06-Aug-20
TATACOMM,EQ,1522,03-Aug-21,755,13-Aug-20
TATACONSUM,EQ,788.15,27-Jul-21,440.3,05-Aug-20
TATAELXSI,EQ,4575,15-Jul-21,941.8,05-Aug-20
TATAINVEST,EQ,1194.6,09-Jun-21,729.35,05-Aug-20
TATAMETALI,EQ,1373.7,04-May-21,480,24-Sep-20
TATAMOTORS,EQ,360.75,15-Jun-21,112,05-Aug-20
TATAMTRDVR,EQ,169.75,15-Jun-21,39.15,05-Aug-20
TATAPOWER,EQ,135.5,03-Aug-21,48.5,06-Aug-20
TATASTEEL,EQ,1481.8,29-Jul-21,342.75,24-Sep-20
TATASTLBSL,BE,109.7,11-May-21,19.85,25-Sep-20
TATASTLLP,BE,1173,16-Jul-21,256.15,05-Aug-20
TATVA,EQ,2534.2,29-Jul-21,2111.85,29-Jul-21
TBZ,EQ,96.25,07-Jan-21,32.4,24-Sep-20
TCI,EQ,509.95,01-Jun-21,169.85,06-Aug-20
TCIDEVELOP,EQ,549,02-Jun-21,260,17-Aug-20
TCIEXP,EQ,1747,20-Jul-21,691.6,06-Aug-20
TCNSBRANDS,EQ,652.4,18-Jun-21,327.95,05-Aug-20
TCPLPACK,EQ,604,27-Jul-21,286,06-Aug-20
TCS,EQ,3399.65,25-Jun-21,2216.45,26-Aug-20
TDPOWERSYS,EQ,234,19-May-21,98.2,07-Aug-20
TEAMLEASE,EQ,4505.65,30-Jul-21,1882,05-Aug-20
TECHIN,EQ,6.75,31-May-21,2.25,13-Nov-20
TECHM,EQ,1254,05-Aug-21,642.55,05-Aug-20
TECHNOE,EQ,362.8,30-Jul-21,173,07-Aug-20
TEJASNET,BE,311.7,05-Aug-21,56.3,03-Sep-20
TEMBO,EQ,230,15-Jun-21,116.5,23-Apr-21
TERASOFT,BE,85,20-Jul-21,23.85,05-Aug-20
TEXINFRA,EQ,79.9,09-Feb-21,31.15,24-Sep-20
TEXMOPIPES,EQ,65.8,27-May-21,11.2,07-Aug-20
TEXRAIL,EQ,41.9,08-Jul-21,22.95,10-Nov-20
TFCILTD,EQ,83.35,12-Jul-21,32.9,16-Oct-20
TFL,EQ,7,19-Jul-21,2.2,26-Apr-21
TGBHOTELS,EQ,10,07-Jul-21,3.9,05-Aug-20
THANGAMAYL,EQ,1017.4,03-Aug-21,316.9,20-Aug-20
THEINVEST,EQ,174.35,07-Dec-20,83,23-Apr-21
THEMISMED,EQ,975,26-Jul-21,275.25,09-Sep-20
THERMAX,EQ,1577.55,07-May-21,703.95,05-Oct-20
THOMASCOOK,EQ,71.5,10-Jun-21,25.8,03-Nov-20
THOMASCOTT,BE,20.5,26-Jul-21,4.05,09-Nov-20
THYROCARE,EQ,1465,25-Jun-21,669.8,05-Aug-20
TI,BE,49.2,08-Jul-21,15.25,09-Sep-20
TIDEWATER,BE,3688.74,13-Jul-21,825,24-Sep-20
TIIL,EQ,745,03-Aug-21,215.25,10-Aug-20
TIINDIA,EQ,1450,14-Jun-21,499.85,05-Aug-20
TIJARIA,BE,10.55,24-Jun-21,4.95,19-Oct-20
TIL,EQ,243.5,12-May-21,125.25,09-Nov-20
TIMESGTY,EQ,63.3,18-Jun-21,20.1,15-Oct-20
TIMETECHNO,EQ,94.5,30-Jun-21,35.25,24-Sep-20
TIMKEN,EQ,1667,07-Jul-21,927.5,17-Aug-20
TINPLATE,EQ,274.7,30-Jul-21,118,24-Sep-20
TIPSINDLTD,BE,1508,01-Jul-21,143.1,05-Aug-20
TIRUMALCHM,EQ,210,04-Aug-21,55.25,17-Aug-20
TIRUPATIFL,BE,89.55,05-Aug-21,20.25,01-Feb-21
TITAN,EQ,1858.65,04-Aug-21,1048.55,12-Aug-20
TMRVL,EQ,25.6,17-Jun-21,8.05,20-Nov-20
TNPETRO,EQ,146.9,04-Aug-21,33.4,24-Sep-20
TNPL,EQ,182.9,23-Jun-21,98,24-Sep-20
TNTELE,BE,21.05,05-Aug-21,1.45,07-Dec-20
TOKYOPLAST,EQ,120.9,05-Aug-21,55.7,11-Sep-20
TORNTPHARM,EQ,3144,27-Jul-21,2311.1,19-Mar-21
TORNTPOWER,EQ,508.7,09-Jun-21,293,22-Dec-20
TOTAL,EQ,84.05,08-Jan-21,25.9,01-Sep-20
TOUCHWOOD,EQ,135.05,16-Mar-21,38.2,29-Oct-20
TPLPLASTEH,EQ,379.95,03-Aug-21,100.15,11-Nov-20
TREEHOUSE,BE,13.75,07-Jul-21,5.55,03-Dec-20
TREJHARA,EQ,72.7,22-Jul-21,8.35,14-Aug-20
TRENT,EQ,969,02-Aug-21,544.15,05-Aug-20
TRF,BE,170,30-Jun-21,70.75,04-Nov-20
TRIDENT,EQ,22.65,05-Aug-21,6.25,24-Sep-20
TRIGYN,EQ,173,23-Jul-21,31.45,05-Aug-20
TRIL,EQ,37.6,12-Jul-21,8.5,24-Sep-20
TRITURBINE,EQ,136.35,16-Jul-21,62.6,05-Aug-20
TRIVENI,EQ,209.4,06-Jul-21,57.5,05-Aug-20
TTKHLTCARE,EQ,825,20-Jul-21,417,28-Oct-20
TTKPRESTIG,EQ,9589.15,05-Jul-21,5020,11-Aug-20
TTL,EQ,74.8,23-Jul-21,29.75,05-Aug-20
TTML,BE,54.1,06-Jul-21,2.7,15-Oct-20
TV18BRDCST,EQ,48.95,10-Jun-21,26.25,12-Apr-21
TVSELECT,EQ,217,08-Jul-21,84.15,25-Sep-20
TVSMOTOR,EQ,666,27-May-21,400.15,05-Aug-20
TVSSRICHAK,EQ,2394,12-Jul-21,1327.1,24-Sep-20
TVTODAY,EQ,379,25-May-21,182.3,24-Sep-20
TVVISION,EQ,3.15,14-May-21,1.15,27-Nov-20
TWL,EQ,96.8,03-Aug-21,38,24-Sep-20
UBL,EQ,1538,03-Aug-21,897,29-Oct-20
UCALFUEL,EQ,206.5,29-Jun-21,106.85,06-Aug-20
UCOBANK,EQ,16.35,19-Feb-21,10.75,22-Apr-21
UFLEX,EQ,593.9,01-Jul-21,295,05-Aug-20
UFO,EQ,114.4,02-Aug-21,67.6,05-Aug-20
UGARSUGAR,EQ,40.05,13-Jul-21,13.1,03-Nov-20
UJAAS,EQ,5.25,13-Aug-20,2.3,20-Apr-21
UJJIVAN,EQ,310.95,08-Jan-21,183.3,22-Apr-21
